Trio,Paternal GT,Maternal GT,F1 age,Min DP,Max DP,Min AB,Max AB,MVs,# MVs passed,Transmission frequency,Paternal MVs,Maternal MVs,CpG MVs,Sites,CpG sites,Avg DP,Uncallable sites,Percent CpG,SNPs,CpG SNPs,Avg SNP DP,Uncallable SNP sites,Percent CpG,Mutation rate,Total SNPs,Post Filter SNPs,AB filtered SNPs,Min FN,MVs corrected for FN,Mutation rate corrected for FN,Notes
7,7.44,7.74,1.17,10,60,0.05,0.95,195,NA,NA,0,0,14,2338336130,121017782,35.17157878,133003554,0.051753801,2974,333,23.44451917,15088032,0.11197041,4.20E-08,471532403,326176655,130700882,0.277183246,269.7779194,5.81E-08,
8,8.04,8.34,0.96,10,60,0.05,0.95,202,NA,NA,0,0,24,2339689181,121055939,35.1816819,131650503,0.05174018,3086,362,23.83408944,14940933,0.117303953,4.34E-08,471532403,326176655,130700882,0.277183246,279.4622549,6.01E-08,
9,6.02,6.4,5.7,10,60,0.05,0.95,136,12,0.088,71,62,11,2342806385,121239222,35.170303,128533299,0.05174957,2861,327,22.61412094,13970667,0.114295701,2.92E-08,471532403,326176655,130700882,0.277183246,188.1528053,4.04E-08,
10,7.02,4.96,1.1,10,60,0.05,0.95,208,NA,NA,0,0,21,2339054135,121042256,35.18743304,132285549,0.051748377,3775,427,24.67549669,15111527,0.113112583,4.48E-08,471532403,326176655,130700882,0.277183246,287.763114,6.19E-08,
11,4.36,2.95,7.79,10,60,0.05,0.95,209,28,0.134,86,115,25,2339129884,121139107,35.1999726,132209800,0.051788106,4730,623,22.95031712,16529629,0.131712474,4.50E-08,471532403,326176655,130700882,0.277183246,289.1465905,6.22E-08,
12,7.07,12.19,1.08,10,60,0.05,0.95,152,NA,NA,0,0,18,2342570885,121304104,35.22818778,128768799,0.051782469,3581,429,23.39458252,16534548,0.119798939,3.27E-08,471532403,326176655,130700882,0.277183246,210.2884294,4.52E-08,
13,2.78,3.26,5.52,10,60,0.05,0.95,204,16,0.078,79,119,27,2337939407,120972538,35.21532222,133400277,0.051743231,4577,570,23.9825213,16279539,0.124535722,4.39E-08,471532403,326176655,130700882,0.277183246,282.2292079,6.08E-08,
14,4.98,7.38,0.97,10,60,0.05,0.95,175,NA,NA,0,0,16,2340611302,121204226,35.2598299,130728382,0.05178315,4404,536,22.2924614,16491079,0.121707539,3.76E-08,471532403,326176655,130700882,0.277183246,242.1083892,5.21E-08,
1,4.89,5.27,6.83,10,60,0.1,0.9,157,31,0.197,46,36,20,2343717311,121272053,35.18000677,127622373,0.051743464,3334,396,23.11667666,13997318,0.118776245,3.37E-08,471532403,325046155,131831382,0.279580748,217.9286569,4.68E-08,
2,5.67,6.27,1.53,10,60,0.1,0.9,175,NA,NA,0,0,24,2342734537,121322444,35.21566743,128605147,0.05178668,2777,340,22.68059057,14695674,0.122434282,3.76E-08,471532403,325046155,131831382,0.279580748,242.9141081,5.22E-08,
3,6.32,6.93,0.87,10,60,0.1,0.9,202,NA,NA,0,0,14,2342539880,121328909,35.21837068,128799804,0.051793743,3335,361,23.14632684,15514288,0.108245877,4.34E-08,471532403,325046155,131831382,0.279580748,280.3922847,6.02E-08,
4,10.06,10.36,5.58,10,60,0.1,0.9,228,31,0.136,131,86,16,2341491946,121115113,35.29016803,129847738,0.051725616,4203,502,22.5748275,16394091,0.119438496,4.90E-08,471532403,325046155,131831382,0.279580748,316.4823808,6.81E-08,
5,13.12,4.76,1.19,10,60,0.1,0.9,185,NA,NA,0,0,17,2341167185,121149858,35.22565357,130172499,0.051747632,2612,301,23.10949464,15154555,0.115237366,3.98E-08,471532403,325046155,131831382,0.279580748,256.7949142,5.52E-08,
6,5.2,4.65,8.61,10,60,0.1,0.9,274,50,0.182,94,56,28,2334808958,120757643,35.17027342,136530726,0.051720567,5221,654,25.28270446,16390596,0.12526336,5.91E-08,471532403,325046155,131831382,0.279580748,380.3340892,8.20E-08,
7,7.44,7.74,1.17,10,60,0.1,0.9,188,NA,NA,0,0,14,2338336130,121017782,35.17157878,133003554,0.051753801,2916,331,23.47633745,15088032,0.11351166,4.05E-08,471532403,325046155,131831382,0.279580748,260.9591561,5.62E-08,
8,8.04,8.34,0.96,10,60,0.1,0.9,200,NA,NA,0,0,24,2339689181,121055939,35.1816819,131650503,0.05174018,3013,356,23.95519416,14940933,0.118154663,4.30E-08,471532403,325046155,131831382,0.279580748,277.6161235,5.97E-08,
9,6.02,6.4,5.7,10,60,0.1,0.9,133,12,0.09,69,62,11,2342806385,121239222,35.170303,128533299,0.05174957,2783,319,22.63600431,13970667,0.114624506,2.86E-08,471532403,325046155,131831382,0.279580748,184.6147221,3.96E-08,
10,7.02,4.96,1.1,10,60,0.1,0.9,205,NA,NA,0,0,21,2339054135,121042256,35.18743304,132285549,0.051748377,3694,421,24.80021657,15111527,0.113968598,4.41E-08,471532403,325046155,131831382,0.279580748,284.5565266,6.12E-08,
11,4.36,2.95,7.79,10,60,0.1,0.9,205,28,0.137,83,114,25,2339129884,121139107,35.1999726,132209800,0.051788106,4625,612,22.97232432,16529629,0.132324324,4.41E-08,471532403,325046155,131831382,0.279580748,284.5565266,6.13E-08,
12,7.07,12.19,1.08,10,60,0.1,0.9,150,NA,NA,0,0,18,2342570885,121304104,35.22818778,128768799,0.051782469,3496,421,23.472254,16534548,0.120423341,3.22E-08,471532403,325046155,131831382,0.279580748,208.2120926,4.48E-08,
13,2.78,3.26,5.52,10,60,0.1,0.9,200,16,0.08,76,118,27,2337939407,120972538,35.21532222,133400277,0.051743231,4454,558,24.06780422,16279539,0.125280647,4.31E-08,471532403,325046155,131831382,0.279580748,277.6161235,5.98E-08,
14,4.98,7.38,0.97,10,60,0.1,0.9,170,NA,NA,0,0,16,2340611302,121204226,35.2598299,130728382,0.05178315,4323,529,22.32246125,16491079,0.122368725,3.66E-08,471532403,325046155,131831382,0.279580748,235.973705,5.08E-08,
1,4.89,5.27,6.83,10,60,0.15,0.85,123,30,0.244,40,27,18,2343717311,121272053,35.18000677,127622373,0.051743464,2869,356,22.20773789,13997318,0.124085047,2.64E-08,471532403,323356582,133520955,0.283163902,171.5873409,3.68E-08,
2,5.67,6.27,1.53,10,60,0.15,0.85,129,NA,NA,0,0,18,2342734537,121322444,35.21566743,128605147,0.05178668,2470,309,21.81740891,14695674,0.125101215,2.77E-08,471532403,323356582,133520955,0.283163902,179.9574551,3.87E-08,
